smiles,PActivity
CCCCCCC(c1cc(O)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)OO)(C)C)(C)C,10.49485002
CCCCCCC(c1cc(O)c2c(c1)OC(C1[C@@H]2CC(=CC1)CO)(C)C)(C)C,9.657577319
CCCCCn1c(=O)c(cc2c1ccc(c2)C(C)C)C(=O)NC12CC3CC(C2)CC(C1)C3,9.585026652
Cc1ccc(cc1)Cn1nc(cc1c1ccc(c(c1)C)Cl)C(=O)NC1[C@@]2(C)CCC(C1(C)C)C2,9.494850022
CCCCCn1cc2c(=O)n(nc2c2c1cccc2)CC12CC3CC(C2)CC(C1)C3,9.408935393
CCCCCn1c2CCCCc2c(c(c1=O)C(=O)NC12CC3CC(C2)CC(C1)C3)O,9.431798276
CCCCCn1c(C)c(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)CC,9.37675071
CCCCCn1c(C)c(c2c1cccc2)C(=O)c1cccc2c1cc(C)cc2,9.30980392
CCCCCOc1c(OC)ccc2c1[nH]c(=O)c(c2)C(=O)NCCc1ccc(cc1)O,9.319000406
CCCCCCC(c1ccc(c(c1)O)[C@H]1C[C@@H](O)CC[C@@H]1CCCO)(C)C,9.283996656
BrCCCCCOC(=O)C(c1cc(O)c2c(c1)OC([C@@H]1[C@H]2CC(=CC1)C)(C)C)(C)C,9.22184875
COCCn1c(=NC(=O)C2C(C2(C)C)(C)C)sc(c1C)C,9.193820026
CCCCCn1c2ccccc2c(c1C)C(=O)c1ccc(c2c1cccc2)CCC,9.22184875
CCCCCn1cc(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)CC,9.161150909
CCCCOC(=O)C(c1cc(O)c2c(c1)OC([C@@H]1[C@H]2CC(=CC1)C)(C)C)(C)C,9.15490196
CCCCCn1c(C)c(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)C,9.137272472
FC(c1nc(N2CCC3(C2)N=N3)c2c(n1)n(nn2)Cc1ccccc1C(F)(F)F)(c1ccccc1)F,9.096910013
BrCCCCC(=O)C(c1cc(O)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)C)(C)C)(C)C,9.096910013
[N-]=[N+]=NCCCOC(=O)C(c1cc(O)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)C)(C)C)(C)C,9.096910013
N#CCCCCOC(=O)C(c1cc(O)c2c(c1)OC([C@@H]1[C@H]2CC(=CC1)C)(C)C)(C)C,9.096910013
C#Cc1cccc(c1Cn1nnc2c1nc(nc2N1CCC(C1)(F)F)C(C)(C)C)S(=O)(=O)F,9
BrCCCOC(=O)C(c1cc(O)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)CO)(C)C)(C)C,9
CCCCOC(=O)C(c1cc(O)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)C)(C)C)C,9
N#CCCCOC(=O)C(c1cc(O)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)CO)(C)C)(C)C,9
OCC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(cc1OC2(C)C)C(C(=O)OCCCN1CCOCC1)(C)C,9
OCC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(cc1OC2(C)C)C(C(=O)OCCCn1ccnc1)(C)C,9
CCCCCn1cc(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)CCC,8.958607315
CCCCCn1cc(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)C,8.920818754
CCCCCn1cc(c2nnn(c2)C23CC4CC(C3)CC(C2)C4)c(=O)c2c1ccc(c2)c1ccco1,8.920818754
Fc1ccc(cc1)Cn1cc(c2c1cccc2)C=C1N2CCC(C1=O)CC2,8.886056648
CCCCn1c(=NC(=O)c2cc(ccc2OC[C@@H](O)C)C(F)(F)F)sc2c1cccn2,8.853871964
CNC(=O)[C@H](C(C)(C)C)NC(=O)c1nn(c2c1C[C@H]1[C@@H]2C1)c1ncc[n+](c1)[O-],8.838631998
CCCCn1nc(s/c/1=N\C(=O)c1cc(ccc1ON=C1CCCCCN1)C(F)(F)F)C(C)(C)C,8.795880017
ON=C(COc1ccc(cc1C(=O)/N=c/1\sc(cn1C[C@H]1CCCO1)C(C)(C)C)C(F)(F)F)C,8.744727495
CCCCCn1cc(c2c1cccc2)C(=O)c1cccc2c1ccc(c2)OC,8.721246399
CCCCCn1c(C)c(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)OC,8.721246399
COc1cccc2c1n(CCN1CCOCC1)nc2C(=O)N[C@H]1[C@@]2(C)CC[C@@H](C1(C)C)C2,8.698970004
CCCCCC(C(c1cc(O)c2c(c1)OC(C1=C2CN(C#C)CC1)(C)C)C)C,8.638272164
COC(=O)c1ccc2c(c1)n(Cc1ccccc1)cc2C=C1N2CCC(C1=O)CC2,8.602059991
CC1=C(C2C3N1[C@@H](COC3=CC=C2)CN1CCOCC1)C(=O)c1cccc2c1cccc2,8.602059991
CCCCn1nc(s/c/1=N\C(=O)c1cc(ccc1ON=C(C1CC1)N)C(F)(F)F)C(C)(C)C,8.602059991
O=C(C1CC21CCCCC2)c1cn(c2c1cccc2)CC1CCOCC1,8.585026652
OC[C@H](NC(=O)CCC/C=C\C/C=C\CCOc1cccc(c1)C(CCCCN=[N+]=[N-])(C)C)C,8.598599459
[N-]=[N+]=NCCCCOC(=O)C1(CCC1)c1cc(O)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)C)(C)C,8.568636236
CCCCCn1c(C)c(c2c1cccc2)C(=O)c1cccc2c1cccc2,8.537602002
Fc1ccc(cc1)C1(Oc2c(O1)cc(c(c2)C(=O)N1CCOCC1)F)c1ccc(cc1Cl)Cl,8.522878745
CCCCCc1cc(O)c2c(c1)OC([C@H]1C2C=C(C)CC1)(C)C,8.504455662
OC[C@H](NC(=O)CCC/C=C\C/C=C\CCOc1cccc(c1)C(CCCC#N)(C)C)C,8.504455662
Clc1ccccc1Cn1nnc2c1nc(nc2N1CCC2(C1)N=N2)C(C)(C)C,8.48148606
CC(=O)C(=NOc1ccc(cc1C(=O)/N=c/1\sc(cn1C[C@H]1CCCO1)C(C)(C)C)C(F)(F)F)C,8.48148606
CCCCCn1cc(C(=O)NC23CC4CC(C3)CC(C2)C4)c(=O)c2c1cc(cc2)S(=O)c1ccccc1,8.455931956
CCCCCn1cc(c2c1cccc2)C(=O)c1cccc2c1cc(CC)cc2,8.420216403
CONC(=O)[C@H](C(C)(C)C)NC(=O)c1nn(c2c1C[C@@H]1[C@H]2C1)c1ncc[n+](c1)[O-],8.420216403
NC(=O)C(C(C)(C)C)NC(=O)n1c(=O)n(c2c1cccc2)CCC1CCOCC1,8.397940009
FC1(F)CCN(C1)c1nc(nc2c1nnn2Cc1ccccc1C1(N=N1)C(F)(F)F)C(C)(C)C,8.37675071
CC(=NOc1ccc(cc1C(=O)/N=c/1\sc(cn1C[C@H]1CCCO1)C(C)(C)C)C(F)(F)F)C(F)(F)F,8.356547324
CS(=O)(=O)O.O=C(c1c(C)n2c3c1cccc3OC[C@H]2CN1CCOCC1)c1ccc2c(c1)cccc2,8.337242168
OCC(CSSCCc1ccccc1Cn1nnc2c1nc(nc2N1CCC(C1)(F)F)C(C)(C)C)O,8.301029996
CCCCCCC1(CCC1)c1cc(O)c2c(c1)OC([C@H]1[C@H]2C[C@H](O)CC1)(C)C,8.289882635
CCCCn1nc(s/c/1=N\C(=O)c1cc(ccc1ON=C(CC)N)C(F)(F)F)C(C)(C)C,8.292429824
CCCCn1nc(s/c/1=N\C(=O)c1cc(ccc1ON=C(C(C)C)N)C(F)(F)F)C(C)(C)C,8.27572413
CCCCCCC1CCCc2c1cc1OC(C)(C)[C@H]3[C@H](c1c2O)CC(=CC3)C,8.26760624
C#Cc1ccccc1Cn1nnc2c1nc(nc2N1CCC2(C1)N=N2)C(C)(C)C,8.251811973
CCCCCn1c(C)c(c2c1cccc2)C(=O)c1cccc2c1cc(CC)cc2,8.251811973
OCC1=Cc2c(C1)c(ccc2O)Oc1cccc(c1)OS(=O)(=O)CCCC(F)(F)F,8.22475374
FC1(F)CCN(C1)c1nc(nc2c1nnn2Cc1ccccc1S(=O)(=O)F)C(C)(C)C,8.22184875
OCCSSCCc1ccccc1Cn1nnc2c1nc(nc2N1CCC(C1)(F)F)C(C)(C)C,8.22184875
CCCCn1nc(s/c/1=N/C(=O)c1cc(ccc1ON=C(C(=O)ON)CC)C(F)(F)F)C(C)(C)C,8.214670165
CCCCOC(=O)C(c1cc(O)c2c(c1)OC([C@H]1[C@H]2CC(=O)CC1)(C)C)(C)C,8.207608311
O=C(C(C(F)(F)F)(C(F)(F)F)C)Nc1ccc2c(c1)C(CCC2)N1CCOCC1,8.22184875
CCCCCn1c(C)c(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)CCCC,8.187086643
CCCCOC(=O)C(c1cc(O)c2c(c1)OC([C@H]1[C@@H]2C[C@H](CO)CC1)(C)C)(C)C,8.187086643
O=C(C(C)(C)C)Oc1cc(OC(=O)C(C)(C)C)cc2c1c(C)c1CCCCn1c2=O,8.167491087
CCCCCn1cc(c2c1cccc2)C(=O)c1cccc2c1cc(OC)cc2,8.161150909
CCCCCn1cc(c2c1cccc2)C(=O)c1c(OC)ccc2c1cccc2,8.14327111
CCCCCn1cc(c2c1cccc2)C(=O)c1cc2ccccc2cc1OC,8.142667504
Cc1ccc(cc1)Cn1nc(cc1c1ccc(c(c1)C)Cl)C(=O)N[C@@H]1CC2C([C@]1(C)CC2)(C)C,8.142667504
CCCCCn1cc(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)CCCC,8.14327111
CCCCCn1cc(C(=O)NC23CC4CC(C3)CC(C2)C4)c(=O)c2c1cc(F)c(c2)C(C)C,8.124938737
BrCCCCC(c1cccc(c1)OCC/C=C\C/C=C\CCCC(=O)N[C@@H](CO)C)(C)C,8.127261173
N#CCCCCC(c1cc(OC(=O)CCCN2CCOCC2)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)C)(C)C)(C)C,8.096910013
CC1=CC[C@@H]2[C@@H](C1)c1ccc(cc1OC2(C)C)C(C(=O)OCCCN1CCOCC1)(C)C,8.060480747
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(cc1OC2(C)C)/C=C/1\C2CC3CC1CC(C2)C3,8.050609993
OCC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(cc1OC2(C)C)C(C(=O)OCCCCn1ccnc1)(C)C,8.060480747
FCCCCCc1cc(O)c2c(c1)OC(C1C2CC(=CC1)C)(C)C,8.060480747
CCCCCCC(c1cc(OC(=O)/C=C/C(=O)O)c(c(c1)O)[C@H]1CC(=O)[C@H]2C[C@@H]1C2(C)C)(C)C,8.045757491
C#Cc1cccc(c1Cn1nnc2c1nc(nc2N1CCC(C1)(F)F)C(C)(C)C)C1(N=N1)C(F)(F)F,8.045757491
OCCSSCc1ccccc1Cn1nnc2c1nc(nc2N1CCC(C1)(F)F)C(C)(C)C,8.045757491
CCCc1ccc(c2c1cccc2)C(=O)c1cn(c2c1cccc2)CCC,8.018181393
Clc1ccccc1Cn1nnc2c1nc(nc2N1CCC2(C1)N=N2)C(c1ccccc1)(F)F,8.004364805
CCCn1cc(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)CC,8
CCCCCn1c(C)c(c2c1cccc2)C(=O)c1cccc2c1cc(OC)cc2,7.982966661
CCCCCn1cc(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)OCC,7.978810701
CN(CCn1cc(C(=O)NC23CC4CC(C3)CC(C2)C4)c(=O)c2c1cc(F)c(c2)C(C)C)C,7.958607315
OCCCCC(c1cccc(c1)OCC/C=C\C/C=C\CCCC(=O)N[C@@H](CO)C)(C)C,7.962573502
CCCCCn1c(C)c(c2c1cccc2)C(=O)c1cccc2c1ccc(c2)OC,7.959002308
FC1(F)CCN(C1)c1nc(nc2c1nnn2Cc1ccccc1CS(=O)(=O)F)C(C)(C)C,7.958607315
OC[C@@H]1CC[C@@H]2[C@@H](C1)c1c(O)cc(cc1OC2(C)C)C12CC3CC(C2)CC(C1)C3,7.958607315
CCCc1ccc(c2c1cccc2)C(=O)c1c(C)n(c2c1cccc2)CCC,7.921180817
C#Cc1cccc(c1Cn1nnc2c1nc(nc2N1CC[C@@H](C1)O)C(C)(C)C)C1(N=N1)C(F)(F)F,7.920818754
CCCn1c(C)c(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)CC,7.921180817
O=C1C2CCN(C1=Cc1cn(c3c1cccc3)Cc1ccccc1)CC2,7.920818754
CCCCCn1cc(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)OC,7.906928694
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(cc1OC2(C)C)C(c1cccc(c1)NC(=O)C)(C)C,7.866461092
CCCCCCN1C(=O)C(=NNC(=O)OC(C)(C)C)c2c1cccc2,7.8569852
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(cc1OC2(C)C)C1C2CC3CC1CC(C2)C3,7.853871964
CCCn1c(C)c(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)C,7.853871964
CCCCn1c(=NC(=O)c2cc(ccc2OCC(O)(C)C)C(F)(F)F)sc2c1cccn2,7.823908741
O[C@H]1CCN(C1)c1nc(nc2c1nnn2Cc1ccccc1S(=O)(=O)F)C(C)(C)C,7.795880017
CCCCn1nc(s/c/1=N\C(=O)c1cc(ccc1ON=C(N)C)C(F)(F)F)C(C)(C)C,7.795880017
CCCn1c(C)c(c2c1cccc2)C(=O)c1cccc2c1cc(C)cc2,7.795880017
Cc1nonc1Cn1nnc2c1nc(nc2N1CCC2(C1)N=N2)C(C)(C)C,7.793174124
CCCCn1nc(s/c/1=N\C(=O)c1cc(ccc1ON=C(c1ccccn1)N)C(F)(F)F)C(C)(C)C,7.744727495
O=C(c1ccccc1)NN=C1C(=O)N(c2c1cccc2)Cc1ccccc1,7.732828272
C#Cc1ccccc1Cn1nnc2c1nc(nc2N1CCC2(C1)N=N2)C(c1ccccc1)(F)F,7.721246399
CCCCN1C(=O)C(=NNC(=O)c2ccccc2)c2c1cccc2,7.714442691
CCCCCn1c(=O)c(C(=O)NCc2ccc(cc2)OC)c(c2c1ccc(c2)c1cccs1)O,7.698970004
Clc1ccc(cc1)Cn1cc(c2c1cccc2)C=C1N2CCC(C1=O)CC2,7.698970004
CCCC(c1ccc2c(c1)OC([C@H]1[C@H]2CC(=O)CC1)(C)C)(C)C,7.692503962
CCOC(=O)C(c1cc(O)c(c(c1)OC)c1cc(Cl)cc(c1)Cl)(C)C,7.679853714
CCCCn1nc(s/c/1=N\C(=O)c1cc(ccc1ON=C(c1ccc(cc1)F)N)C(F)(F)F)C(C)(C)C,7.677780705
CCCCCCC(c1cccc(c1)OCC/C=C\C/C=C\CCCC(=O)N[C@@H](CO)C)(C)C,7.667965723
CCCCCCC(c1cc(OC)c(c(c1)OC)[C@]1(O)CCC[C@H](C1)C)(C)C,7.638272164
CCCCCc1cc(O)c2c(c1)OC(C1C2C=C(C)CC1)(C)C,7.640164518
CCCCCn1c(C)c(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)OCC,7.602059991
O=C(c1cnc2c(c1O)ccc(c2C)Cl)NC12CC3CC(C2)CC(C1)C3,7.59345982
FC1(F)CCN(C1)c1nc(nc2c1nnn2Cc1ccccc1CCS(=O)(=O)F)C(C)(C)C,7.568636236
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(cc1OC2(C)C)CC12CC3CC(C2)CC(C1)C3,7.57024772
Cc1ccc(cc1S(=O)(=O)N1CCOCC1)c1nnc([nH]1)CC1CCCCC1,7.568636236
CCCCCC(c1cc(Br)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)C)(C)C)(C)C,7.552841969
FCCOc1ccc2c(c1)c(CCN1CCOCC1)c(n2C(=O)c1cccc(c1Cl)Cl)C,7.568636236
CC1=CCC2C(C1)c1c(O)cc(cc1OC2(C)C)CCCCC(F)(F)F,7.522878745
CCCn1cc(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)OC,7.49498576
C#Cc1cccc(c1Cn1nnc2c1nc(nc2N1CCC(C1)(F)F)C(c1ccccc1)(F)F)C1(N=N1)C(F)(F)F,7.508638306
CCCCCc1ccc2c(c1)OC([C@H]1[C@H]2CC(=CC1)C)(C)C,7.494850022
CCCCCCC(c1cc(Br)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)C)(C)C)(C)C,7.468521083
O=C(C1CC21CCCCC2)c1cn(c2c1cccc2)CCN1CCOCC1,7.455931956
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(cc1OC2(C)C)C(C(=O)OCCCCN1CCOCC1)(C)C,7.399027104
C=CCc1cc(ccc1OCC)c1cc(CC=C)ccc1O,7.397940009
C=CCc1ccc(c(c1)c1ccc(c(c1)/C=C/C)OC)O,7.389339837
OCCCCn1c(=O)c(C(=O)NCC2CCCCC2)c(c2c1cccc2)O,7.387216143
CCC1COc2c3n1cc(C(=O)NC14CC5CC(C4)CC(C1)C5)c(=O)c3ccc2N1CCN(CC1)C,7.37675071
CCCCCCN1C(=O)/C(=N\NC(=O)c2ccccc2)/c2c1cccc2,7.353596274
C=CCc1cc(ccc1OCCC)c1cc(CC=C)ccc1O,7.337242168
OCc1ccc2c(c1)c1c(O)cc(cc1OC2(C)C)C12CC3CC(C2)CC(C1)C3,7.327902142
N#Cc1c(cccc1C(F)(F)F)Oc1cccc(c1)OS(=O)(=O)CCCC(F)(F)F,7.341988603
Cc1nonc1Cn1nnc2c1nc(nc2N1CCC2(C1)N=N2)C(c1ccccc1)(F)F,7.341988603
CCOC(=O)C(c1cc(O)c(c(c1)O)c1cc(C)cc(c1)C)(C)C,7.311580178
CCCCc1ccc(c2c1cccc2)C(=O)c1c(C)n(c2c1cccc2)CCC,7.309981219
CCCCCc1cc(OC)c2c(c1)oc(=O)c(c2)Cc1ccccc1OC,7.30980392
NC(=O)CN1CCN(CC1)Cc1onc(n1)c1cn(c2c1cccc2Cl)CC1CCOCC1,7.299988938
CCCCCCC(c1cc(OC(=O)C)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)C(=O)O)(C)C)(C)C,7.292429824
C=CCc1ccc(c(c1)c1ccc(c(c1)CC=C)O)OCC,7.292429824
CCCCc1ccc(c2c1cccc2)C(=O)c1cn(c2c1cccc2)CCC,7.283996656
CCCCCCC(c1cc(O)c2c(c1)OC([C@H]1[C@H]2COC(=O)CC1)(C)C)(C)C,7.283996656
CCCCn1nc(s/c/1=N\C(=O)c1cc(ccc1ON=C(C(F)(F)F)C)C(F)(F)F)C(C)(C)C,7.283996656
CCN1CCN(CC1)c1nc(C)nc2c1[nH]c(n2)c1ccccc1Cl,7.292429824
COc1ccc(c2c1c(O)c(cn2)C(=O)NC12CC3CC(C2)CC(C1)C3)OC,7.279014256
COc1ccc2c(c1)N(C)C([C@H]1[C@H]2C[C@H](C)CC1)(C)C,7.26760624
Clc1cc(ccc1Cn1nnc2c1nc(nc2N1CCC(C1)(F)F)C(C)(C)C)C1(N=N1)C(F)(F)F,7.254925208
COCCOCn1cc(C(=O)NC23CC4CC(C3)CC(C2)C4)c(=O)c2c1cc(F)cc2,7.251811973
CCCCCC1(CC(=O)O1)c1cc(O)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)C)(C)C,7.255707017
CCCOc1ccc(cc1c1ccc(c(c1)CC=C)O)CC=C,7.244125144
O=C(c1nn(c2c1C[C@@H]1[C@H]2C1)CC1CCOCC1)NC1(CCC1)c1ccccn1,7.231361899
CCCCCOc1cccc2c1ncc(c2O)C(=O)NC12CC3CC(C2)CC(C1)C3,7.22184875
C#Cc1cccc(c1Cn1nnc2c1nc(nc2N1CC[C@@H](C1)O)C(c1ccccc1)(F)F)C1(N=N1)C(F)(F)F,7.236572006
CN(CCn1cc(C(=O)NC23CC4CC(C3)CC(C2)C4)c(=O)c2c1cc(F)cc2)C,7.22184875
NCCSSCCc1ccccc1Cn1nnc2c1nc(nc2N1CCC(C1)(F)F)C(C)(C)C,7.200659451
CCCCn1nc(s/c/1=N\C(=O)c1cc(ccc1ON=C(C(C)(C)C)N)C(F)(F)F)C(C)(C)C,7.187086643
CCCCCn1c(=O)c(C(=O)NC23CC4CC(C3)CC(C2)C4)c(c2c1cc(F)c(c2)C(C)C)O,7.180456064
CCCCC1(CCCC1)c1cc(O)c2c(c1)oc(=O)c(c2)Cc1ccccc1O,7.167491087
O=NC1=C(Cc2cn(c3c2cccc3)Cc2ccccc2)N2CCC1CC2,7.161150909
CCCCn1nc(s/c/1=N\C(=O)c1cc(ccc1ON=C(c1ccncc1)N)C(F)(F)F)C(C)(C)C,7.167491087
CCCn1cc(c2c1cccc2)C(=O)c1cccc2c1cc(OC)cc2,7.148986393
CCCCC(c1cc(Br)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)C)(C)C)(C)C,7.148741651
FC1(F)CCN(C1)c1nc(nc2c1nnn2Cc1ccccc1CCSSc1ccccn1)C(C)(C)C,7.142667504
CCOc1ccc(c2c1cccc2)C(=O)c1cn(c2c1cccc2)CCC,7.131003098
CCCCCn1cc(C(=O)NC23CC4CC(C3)CC(C2)C4)c(=O)c2c1ccc(c2)S(=O)c1ccccc1,7.135488919
CCCc1ccc(c(c1)c1ccc(c(c1)CCC)OC)O,7.13076828
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(cc1OC2(C)C)CC1C2CC3CC1CC(C2)C3,7.119186408
CCCCCCC(c1ccc(cc1)OCC/C=C\C/C=C\CCCC(=O)N[C@@H](CO)C)(C)C,7.106682188
CCCn1cc(c2c1cccc2)C(=O)c1c(OC)ccc2c1cccc2,7.0970186
Cc1ccc(cc1S(=O)(=O)N1CCOCC1)c1c[nH]c(n1)C(C)(C)C,7.091514981
C#Cc1cccc(c1Cn1nc2c(n1)nc(nc2N1CCC(C1)(F)F)C(C)(C)C)C1(N=N1)C(F)(F)F,7.089375595
C=CCc1ccc(c(c1)c1ccc(c(c1)CC(Br)C)OC)O,7.075720714
ON=C(CN1CCC[C@H]1COc1ccc(cc1C(=O)/N=c/1\sc(cn1C[C@H]1CCCO1)C(C)(C)C)C(F)(F)F)C,7.070581074
Cc1ccc(cc1S(=O)(=O)N1CCOCC1)c1nnc([nH]1)CC(C)(C)C,7.070581074
SC1CCN(C1)c1nc(nc2c1nnn2Cc1ccccc1Cl)C(C)(C)C,7.070581074
CCCCn1nc(s/c/1=N\C(=O)c1cc(ccc1ON=C(c1cccnc1)N)C(F)(F)F)C(C)(C)C,7.060480747
